time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-03T03:45:35.820Z,23.7722,121.7864,15.668,4.8,mb,38,85,0.587,0.79,us,us7000m9ir,2024-04-03T20:20:05.040Z,"29 km SE of Hualien City, Taiwan",earthquake,2.62,4.418,0.062,80,reviewed,us,us
2024-04-03T03:35:20.278Z,24.18,121.8808,6.606,5.1,mb,51,57,0.67,0.92,us,us7000m9if,2024-04-03T20:22:28.040Z,"35 km NE of Hualien City, Taiwan",earthquake,1.48,4.254,0.049,133,reviewed,us,us
2024-04-03T03:32:23.816Z,-10.3683,-75.4807,9.55,5,mb,40,100,2.091,0.79,us,us7000m9ie,2024-04-03T04:41:40.786Z,"24 km NNW of Oxapampa, Peru",earthquake,8.23,4.596,0.039,207,reviewed,us,us
2024-04-03T03:25:38.290Z,38.4745,-122.6683333,9.26,2.97,ml,131,26,0.04864,0.15,nc,nc74028226,2024-04-04T05:05:47.099Z,"4 km NE of Santa Rosa, CA",earthquake,0.13,0.25,0.23,92,reviewed,nc,nc
2024-04-03T03:20:54.457Z,24.1385,121.6484,32.087,4.7,mb,41,73,0.725,0.7,us,us7000m9ib,2024-04-03T03:47:16.040Z,"18 km NNE of Hualien City, Taiwan",earthquake,4.41,5.328,0.053,106,reviewed,us,us
2024-04-03T03:02:51.601Z,69.3952,-143.4936,0.1,2.5,ml,,,,0.95,ak,ak0244bibgnc,2024-04-03T03:06:33.073Z,"82 km S of Kaktovik, Alaska",earthquake,,1.2,,,automatic,ak,ak
2024-04-03T03:01:08.026Z,-31.8552,77.4472,10,5,mb,36,55,5.928,0.58,us,us7000m9ia,2024-04-03T03:18:49.040Z,"Mid-Indian Ridge",earthquake,12.06,1.865,0.084,45,reviewed,us,us
2024-04-03T02:38:29.152Z,23.9333,121.5685,11.367,4.9,mb,28,77,0.581,0.81,us,us7000m9i3,2024-04-03T02:59:42.040Z,"6 km SW of Hualien City, Taiwan",earthquake,2.48,4.65,0.085,44,reviewed,us,us
2024-04-03T02:28:17.438Z,24.2125,121.7965,10.199,5.2,mb,55,64,0.595,0.98,us,us7000m9ht,2024-04-03T20:26:46.040Z,"32 km NE of Hualien City, Taiwan",earthquake,2.94,4.362,0.04,204,reviewed,us,us
2024-04-03T02:14:36.398Z,24.207,121.935,41.06,5.7,mwr,116,18,0.687,0.71,us,us7000m9hp,2024-04-05T03:34:18.304Z,"42 km NE of Hualien City, Taiwan",earthquake,2.57,4.704,0.06,27,reviewed,us,us
2024-04-03T02:13:38.885Z,24.138,121.7978,10,4.7,mb,33,123,0.654,0.51,us,us7000m9hr,2024-04-05T03:08:45.040Z,"26 km NE of Hualien City, Taiwan",earthquake,3.16,1.904,0.066,69,reviewed,us,us
2024-04-03T02:02:06.317Z,1.0191,-85.2491,10,5.1,mb,70,71,5.31,0.69,us,us7000m9hl,2024-04-05T02:55:48.040Z,"off the coast of Ecuador",earthquake,8.19,1.892,0.037,237,reviewed,us,us
